id,name,country_name
667,People's Democratic Republic of Yemen,South Yemen
670,Saudi Arabia,Saudi Arabia
676,Syria,Syria
678,United Arab Emirates,United Arab Emirates
679,Turkey,Turkey
694,Yemen,Yemen
701,Afghanistan,Afghanistan
702,Bhutan,Bhutan
703,Bangladesh,Bangladesh
704,Brunei,Brunei
705,Bonin Islands,Bonin Islands
706,Myanmar,Burma
707,British Indian Ocean Territory,British Indian Ocean Territory
709,Cambodia,Cambodia
711,Sri Lanka,Sri Lanka
713,China,China
729,Hong Kong,Hong Kong
733,India,India
736,Japan,Japan
738,Kazakhstan,Kazakhstan
743,Kyrgyzstan,Kyrgyzstan
744,Laos,Laos
747,Macau,Macau
749,Malaysia,Malaysia
750,Maldives,Maldives
751,Mongolia,Mongolia
755,Nepal,Nepal
757,North Korea,North Korea
759,North Vietnam,Vietnam
761,Okinawa/Ryukyu Islands,Okinawa/Ryukyu Islands
764,Pakistan,Pakistan
766,Philippines,Philippines
770,Russia (Asian Part),Russia
776,Singapore,Singapore
778,South Korea,South Korea
780,South Vietnam,Vietnam
781,Taiwan,Taiwan
782,Thailand,Thailand
783,Tajikistan,Tajikistan
785,Turkmenistan,Turkmenistan
786,U.S.S.R. (Asian Part),U.S.S.R.
788,Uzbekistan,Uzbekistan
791,Vietnam,Vietnam
800,American Samoa,American Samoa
801,Antarctica,Antarctica
802,Australia,Australia
803,Christmas Island,Christmas Island
804,Papua New Guinea,Papua New Guinea
809,Palau Islands,Palau District (TTPI)
810,Federated States of Micronesia,Federated States of Micronesia
812,Cocos (Keeling) Islands,Cocos (Keeling) Islands
813,Cook Islands,Cook Islands
817,Tuvalu,Tuvalu
821,Fiji Islands,Fiji
823,French Polynesia,French Polynesia
824,Kiribati,Kiribati
826,Guam,Guam
832,Indonesia,Indonesia
834,Johnston Island,Johnston Atoll
840,Loyalty Islands,New Caledonia
841,Northern Mariana Islands,Northern Mariana Islands
842,Midway Islands,Midway Islands
843,Marshall Islands,Marshall Islands District (TTPI)
844,Marshall Islands,Marshall Islands
845,Nauru,Nauru
846,New Caledonia,New Caledonia
849,New Hebrides,New Hebrides
851,New Zealand,New Zealand
852,Niue,Niue
853,Norfolk Island,Norfolk Island
854,Palau,Palau
861,East Timor,East Timor
862,Timor-Leste,Timor-Leste
874,Solomon Islands,Solomon Islands
881,Tonga,Tonga
885,Vanuatu,Vanuatu
888,Wake Island,Wake Island
890,Wallis and Futuna Islands,Wallis and Futuna
892,Samoa,Samoa
906,British Columbia,Canada
911,Yukon Territory,Canada
916,Alberta,Canada
921,Saskatchewan,Canada
926,Manitoba,Canada
931,Northwest Territories,Canada
934,Nunavut Territory,Canada
936,Ontario,Canada
941,Quebec,Canada
946,New Brunswick,Canada
951,Nova Scotia,Canada
956,Prince Edward Island,Canada
961,Newfoundland and Labrador,Canada
975,Greenland,Greenland
977,Saint Pierre and Miquelon,Saint Pierre and Miquelon
